age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
45,80.0,171.2,29.79,no,Chennai,Government,Medium
64,55.2,148.5,23.0,no,Bangalore,Freelancer,Medium
77,45.7,175.7,27.91,no,Lucknow,Business,High
24,65.1,187.2,7.18,no,Kolkata,Freelancer,Medium
61,87.5,175.1,35.4,no,Kolkata,Engineer,Low
78,67.1,181.9,37.24,no,Mumbai,Doctor,Low
25,76.0,176.8,2.55,no,Bangalore,Student,Medium
64,76.6,179.9,14.98,no,Bangalore,Student,Low
52,47.3,179.4,6.42,no,Delhi,Student,Medium
31,56.5,179.5,49.92,yes,Mumbai,Freelancer,Low
34,70.1,173.2,30.48,no,Delhi,Doctor,Medium
53,61.6,152.8,24.36,yes,Mumbai,Teacher,Medium
67,95.6,159.1,24.22,no,Pune,Freelancer,High
57,51.6,159.3,48.31,no,Lucknow,Freelancer,High
21,56.4,144.7,33.67,no,Mumbai,Private,Medium
19,74.4,165.7,10.1,no,Bangalore,Student,Low
79,60.6,184.2,23.51,no,Hyderabad,Engineer,Low
23,40.0,155.6,39.16,no,Lucknow,Business,Medium
71,99.0,177.3,22.32,no,Lucknow,Business,Medium
59,53.9,175.3,16.86,no,Delhi,Business,Low
21,78.4,172.3,49.58,no,Lucknow,Teacher,Medium
71,51.2,181.8,46.91,no,Chennai,Business,High
46,57.1,169.6,47.19,no,Delhi,Business,Medium
80,45.7,185.2,8.32,yes,Chennai,Doctor,Medium
35,58.9,168.0,13.24,yes,Kolkata,Teacher,Medium
43,60.3,173.4,23.22,no,Mumbai,Teacher,High
61,68.0,168.6,41.94,no,Pune,Doctor,Low
51,64.4,160.8,37.37,no,Delhi,Engineer,Low
27,48.4,156.5,42.78,no,Mumbai,Private,Medium
79,62.1,175.8,46.2,no,Lucknow,Business,Medium
53,91.7,183.5,39.48,no,Hyderabad,Freelancer,Medium
31,89.9,172.4,14.56,no,Delhi,Engineer,Medium
48,76.8,175.1,15.7,no,Kolkata,Doctor,Medium
65,79.9,154.5,18.92,no,Delhi,Doctor,Low
32,100.9,173.9,16.55,no,Kolkata,Doctor,Medium
25,78.6,149.2,13.96,no,Mumbai,Freelancer,High
31,79.7,158.0,38.12,yes,Pune,Doctor,Medium
40,46.5,183.3,3.63,no,Bangalore,Government,Medium
77,53.3,170.1,36.96,no,Hyderabad,Freelancer,High
74,69.5,171.1,41.53,no,Pune,Student,High
79,57.9,175.5,5.17,yes,Chennai,Freelancer,Low
57,55.0,178.0,4.97,no,Mumbai,Doctor,Low
38,56.8,167.3,15.7,no,Hyderabad,Engineer,High
33,48.6,172.9,12.0,no,Hyderabad,Doctor,Medium
62,58.1,169.3,29.89,yes,Bangalore,Freelancer,Medium
35,75.1,154.7,34.42,no,Mumbai,Freelancer,High
64,96.9,166.5,32.44,yes,Mumbai,Engineer,Medium
70,82.0,174.1,19.15,no,Delhi,Doctor,Medium
41,79.5,166.2,25.92,no,Kolkata,Doctor,Low
43,45.6,166.2,32.72,no,Pune,Student,Medium
42,71.8,177.8,7.73,no,Kolkata,Private,Low
77,69.0,171.6,13.02,no,Lucknow,Freelancer,Low
77,74.4,173.5,44.74,no,Delhi,Freelancer,Medium
77,64.6,153.8,18.43,no,Delhi,Doctor,High
62,94.9,174.5,40.46,no,Mumbai,Business,High
58,70.8,158.9,14.05,no,Lucknow,Student,High
46,72.3,169.8,4.0,no,Lucknow,Freelancer,Low
32,40.6,159.4,26.02,no,Kolkata,Student,Medium
62,68.4,179.3,44.84,no,Pune,Business,Low
18,87.2,188.3,41.33,no,Mumbai,Private,Medium
42,78.3,168.5,14.14,no,Pune,Government,Medium
24,40.0,168.4,45.68,no,Pune,Private,High
26,63.3,180.3,25.03,yes,Bangalore,Student,Low
41,96.0,175.7,4.35,no,Lucknow,Doctor,Medium
18,67.7,169.3,3.34,no,Bangalore,Freelancer,Low
61,74.8,173.7,25.29,no,Pune,Business,Low
25,94.3,190.3,28.22,no,Lucknow,Private,Low
41,67.7,163.3,5.84,yes,Delhi,Doctor,Medium
80,81.9,164.1,46.27,no,Lucknow,Freelancer,Low
28,76.2,177.9,36.47,yes,Lucknow,Student,Medium
68,79.4,191.1,40.46,no,Kolkata,Teacher,Medium
34,75.7,171.8,30.03,yes,Bangalore,Business,Low
25,61.8,152.9,33.85,yes,Pune,Engineer,Medium
52,63.3,173.9,20.62,no,Kolkata,Student,Medium
52,57.2,164.8,34.61,yes,Pune,Private,High
50,45.4,174.8,48.95,no,Kolkata,Private,Low
76,88.7,156.4,33.09,no,Chennai,Teacher,Low
22,70.2,155.2,18.4,no,Bangalore,Student,Low
59,87.9,167.0,15.69,no,Bangalore,Doctor,Medium
56,93.5,186.5,48.24,no,Mumbai,Government,Low
75,70.8,156.3,10.88,yes,Pune,Government,Low
58,50.3,166.8,40.7,no,Mumbai,Doctor,High
45,67.1,155.4,24.33,no,Pune,Government,Low
24,59.9,172.9,23.3,no,Hyderabad,Doctor,Medium
26,40.3,172.2,37.88,no,Kolkata,Freelancer,Medium
25,62.5,155.8,9.11,yes,Pune,Freelancer,Low
29,68.9,182.9,24.38,yes,Delhi,Teacher,Medium
51,60.4,150.8,3.72,no,Mumbai,Doctor,Medium
50,58.4,185.8,34.18,no,Mumbai,Freelancer,Low
65,50.8,183.7,4.8,no,Hyderabad,Student,Medium
72,72.9,173.1,6.19,no,Hyderabad,Student,Medium
40,98.0,179.0,42.55,no,Lucknow,Government,Medium
79,89.2,168.2,23.26,no,Kolkata,Student,Low
41,79.8,154.6,11.65,yes,Hyderabad,Business,High
54,80.1,172.4,30.44,yes,Bangalore,Student,High
52,68.0,154.3,26.93,yes,Mumbai,Doctor,Low
61,42.9,169.9,21.72,yes,Delhi,Private,Low
57,64.5,157.6,45.46,no,Lucknow,Private,High
39,55.5,179.8,37.97,no,Kolkata,Business,Medium
44,72.3,173.8,9.28,yes,Bangalore,Business,Low
52,88.5,176.8,29.4,no,Chennai,Business,Low
18,99.6,173.4,6.26,no,Delhi,Business,Low
52,71.0,188.8,13.74,yes,Hyderabad,Government,High
54,45.0,180.2,45.67,no,Pune,Teacher,Low
64,70.9,187.0,24.18,no,Bangalore,Private,Medium
31,71.3,161.0,44.82,no,Lucknow,Government,Medium
20,80.2,164.6,9.97,no,Kolkata,Student,Low
18,69.7,145.8,11.86,no,Pune,Teacher,Low
22,71.0,166.1,18.94,no,Chennai,Government,Medium
43,60.5,169.6,19.58,yes,Hyderabad,Engineer,Low
72,65.3,174.3,37.77,no,Hyderabad,Freelancer,Medium
80,77.7,164.7,30.77,no,Lucknow,Teacher,Low
31,40.0,177.4,28.56,no,Delhi,Government,Medium
56,65.2,176.7,30.91,no,Mumbai,Private,Medium
44,80.3,165.3,37.15,no,Mumbai,Private,Low
26,94.6,160.4,44.86,no,Lucknow,Government,High
32,64.0,170.7,21.91,yes,Delhi,Business,Medium
32,87.8,171.0,40.54,no,Mumbai,Student,Low
43,95.4,163.9,25.76,no,Kolkata,Government,High
59,64.2,167.4,36.66,no,Lucknow,Student,Medium
77,61.6,155.8,43.99,yes,Delhi,Doctor,Low
30,67.3,176.8,3.55,no,Delhi,Government,Medium
68,68.8,176.9,28.24,no,Pune,Teacher,Medium
80,86.4,170.5,49.49,no,Hyderabad,Student,Medium
49,58.4,177.7,25.82,yes,Mumbai,Engineer,Medium
56,93.1,171.3,43.49,no,Hyderabad,Engineer,Low
66,58.0,186.2,10.92,no,Delhi,Private,High
69,51.0,157.0,31.01,no,Chennai,Government,Low
78,77.9,172.0,43.77,yes,Delhi,Teacher,Medium
49,88.5,179.0,22.71,no,Mumbai,Government,Low
21,72.7,184.9,25.36,no,Mumbai,Government,High
47,76.5,177.9,5.94,no,Mumbai,Doctor,Low
54,99.3,159.6,4.02,no,Mumbai,Government,Medium
40,88.7,153.4,24.5,no,Lucknow,Freelancer,Low
56,70.5,168.3,42.49,no,Pune,Government,Medium
62,63.5,173.6,46.7,no,Kolkata,Private,Low
32,86.4,179.4,33.62,no,Lucknow,Engineer,Medium
60,82.4,159.0,41.67,yes,Pune,Doctor,Medium
46,76.3,176.1,37.27,no,Mumbai,Private,Low
53,65.1,143.2,35.67,yes,Lucknow,Private,Medium
30,68.9,162.6,38.91,yes,Lucknow,Private,Medium
49,67.8,178.6,26.25,no,Chennai,Teacher,Low
24,65.3,158.1,23.98,no,Delhi,Private,Medium
76,61.0,159.0,9.64,no,Bangalore,Government,High
68,74.0,164.7,42.5,no,Bangalore,Student,High
39,60.3,171.8,4.14,no,Kolkata,Doctor,High
45,72.7,158.8,14.84,no,Bangalore,Government,Low
19,40.0,169.7,26.96,yes,Mumbai,Engineer,Low
59,61.0,165.7,48.64,no,Lucknow,Freelancer,High
62,86.5,181.6,39.73,no,Bangalore,Doctor,Low
79,56.5,165.2,19.7,yes,Pune,Student,Low
74,78.9,170.3,36.27,no,Chennai,Government,Medium
70,57.7,171.7,46.71,no,Hyderabad,Student,High
23,81.6,165.8,27.87,no,Mumbai,Freelancer,Low
45,65.5,177.7,24.17,no,Bangalore,Private,Medium
45,65.0,179.8,28.54,yes,Mumbai,Engineer,Medium
61,70.8,165.1,16.95,no,Kolkata,Doctor,Medium
61,49.8,172.9,45.55,no,Lucknow,Doctor,Medium
37,84.6,160.7,40.27,no,Chennai,Freelancer,Low
47,89.6,175.6,35.86,no,Delhi,Business,Low
79,64.6,172.3,30.28,yes,Hyderabad,Engineer,Medium
28,77.9,166.4,48.53,no,Mumbai,Private,Medium
75,81.7,173.3,16.29,yes,Chennai,Doctor,Medium
72,68.6,175.9,15.59,no,Kolkata,Teacher,Medium
45,53.4,182.3,13.62,yes,Kolkata,Business,Medium
42,93.9,174.0,37.61,no,Chennai,Freelancer,Low
56,64.1,178.9,40.27,no,Bangalore,Engineer,High
79,60.9,189.0,30.66,no,Chennai,Freelancer,Medium
50,94.6,159.7,33.3,no,Pune,Student,Medium
18,79.2,181.7,18.75,no,Bangalore,Engineer,Low
74,73.9,161.2,3.91,no,Bangalore,Teacher,Medium
44,55.4,162.9,14.17,yes,Chennai,Teacher,Low
79,82.0,169.9,30.05,no,Kolkata,Student,Medium
74,113.4,163.5,41.02,no,Delhi,Student,Low
69,83.2,161.9,39.31,no,Delhi,Student,Medium
30,77.4,169.4,10.62,no,Lucknow,Freelancer,Medium
58,80.8,166.7,4.47,no,Chennai,Private,Low
20,65.1,163.3,42.83,no,Mumbai,Business,High
56,64.9,160.5,5.63,no,Chennai,Private,Medium
23,64.7,184.3,20.88,no,Delhi,Freelancer,Low
25,61.4,158.0,6.52,no,Hyderabad,Teacher,Medium
44,64.7,168.3,29.07,no,Lucknow,Student,Medium
26,64.6,181.2,19.44,no,Chennai,Teacher,Medium
79,66.3,178.1,11.72,yes,Lucknow,Business,Medium
54,65.9,172.3,30.57,no,Hyderabad,Government,Low
50,73.6,163.8,19.44,no,Hyderabad,Private,Low
68,71.2,169.8,10.01,no,Pune,Business,High
59,72.5,158.8,35.6,no,Hyderabad,Private,Low
61,92.8,167.1,42.17,no,Kolkata,Freelancer,High
41,71.2,167.0,15.14,no,Delhi,Government,Medium
32,103.2,168.0,10.95,yes,Lucknow,Teacher,High
76,75.3,162.1,5.61,no,Delhi,Student,Low
71,63.3,153.0,27.34,no,Delhi,Freelancer,Medium
49,90.2,182.5,41.9,no,Kolkata,Freelancer,Low
49,68.8,180.3,14.04,no,Delhi,Government,High
41,40.0,178.7,24.11,yes,Mumbai,Engineer,Low
58,69.9,173.8,9.72,no,Delhi,Doctor,Medium
69,66.3,171.7,21.4,no,Chennai,Teacher,Medium
66,94.1,163.1,2.74,no,Mumbai,Government,Low
79,56.5,164.1,45.71,no,Bangalore,Business,Low
66,65.0,184.6,34.48,no,Delhi,Private,Medium
75,89.0,186.8,17.98,no,Pune,Private,Medium
69,75.9,168.2,44.3,no,Bangalore,Student,Medium
29,67.4,170.0,10.78,no,Lucknow,Freelancer,Medium
79,58.7,177.3,5.78,no,Bangalore,Government,Low
56,75.3,170.9,47.25,no,Kolkata,Doctor,Medium
19,69.6,171.7,16.83,no,Lucknow,Teacher,Low
20,58.5,169.4,46.93,no,Chennai,Engineer,Low
66,59.3,160.6,32.61,no,Hyderabad,Engineer,Low
54,57.8,166.3,49.04,no,Chennai,Business,Medium
66,55.1,168.7,38.16,no,Bangalore,Business,Medium
73,84.0,144.8,7.06,no,Kolkata,Business,Medium
34,82.0,170.9,42.91,yes,Mumbai,Teacher,Medium
76,84.0,193.2,9.1,no,Pune,Freelancer,Medium
66,70.1,165.7,35.23,yes,Lucknow,Engineer,Low
19,66.4,170.3,26.02,no,Delhi,Freelancer,Medium
19,66.6,161.6,35.97,yes,Lucknow,Engineer,High
45,85.3,159.1,38.72,yes,Hyderabad,Business,Low
71,42.7,166.9,40.58,yes,Mumbai,Business,High
40,62.3,176.3,42.08,yes,Delhi,Private,Medium
54,56.7,167.7,42.67,no,Bangalore,Student,Medium
49,90.4,166.3,21.8,no,Kolkata,Private,Medium
50,62.8,175.0,44.68,no,Pune,Engineer,Low
18,45.5,172.0,36.54,no,Kolkata,Business,High
36,73.4,172.8,42.27,yes,Hyderabad,Private,High
79,64.4,181.9,49.48,yes,Hyderabad,Business,High
19,61.6,180.6,7.59,yes,Chennai,Business,Low
70,60.1,185.0,19.79,no,Hyderabad,Government,Medium
61,59.5,157.9,40.71,no,Chennai,Student,Medium
43,80.6,178.6,6.14,no,Mumbai,Engineer,Medium
49,73.4,186.5,27.96,no,Hyderabad,Engineer,Low
23,67.0,153.7,43.2,no,Chennai,Engineer,High
49,53.5,169.8,2.91,no,Delhi,Student,Low
72,67.5,164.6,47.1,no,Kolkata,Teacher,Medium
21,73.9,169.8,48.95,yes,Kolkata,Student,Medium
72,74.5,181.5,17.47,yes,Bangalore,Private,Medium
28,72.4,156.0,38.81,no,Bangalore,Government,Low
73,56.2,172.4,8.1,yes,Hyderabad,Doctor,Medium
76,40.0,164.4,39.1,no,Hyderabad,Private,Medium
34,97.0,181.8,25.11,no,Mumbai,Government,Medium
80,50.4,174.2,43.29,yes,Lucknow,Private,Low
55,40.5,168.4,12.21,yes,Pune,Student,Medium
41,72.0,162.8,34.29,yes,Bangalore,Private,High
22,44.4,196.6,39.73,no,Delhi,Doctor,High
69,57.9,172.8,11.72,yes,Pune,Private,Low
51,78.2,155.8,41.28,yes,Lucknow,Government,Medium
23,96.6,161.9,47.98,no,Lucknow,Business,Low
39,75.8,174.1,31.57,yes,Chennai,Private,High
28,63.4,162.7,39.67,yes,Chennai,Freelancer,Low
80,69.2,163.9,27.56,yes,Mumbai,Doctor,Low
65,42.9,179.9,30.71,yes,Chennai,Student,Medium
33,63.2,179.0,2.64,no,Kolkata,Teacher,Low
50,63.3,164.3,27.17,yes,Chennai,Engineer,Medium
26,72.3,181.7,29.63,no,Bangalore,Student,Medium
77,99.1,162.9,34.16,no,Lucknow,Engineer,Medium
76,40.9,186.9,10.13,no,Kolkata,Government,Medium
23,63.9,175.4,13.59,no,Bangalore,Doctor,High
33,42.5,172.9,38.29,yes,Pune,Business,Low
46,62.4,166.2,10.05,no,Bangalore,Freelancer,Medium
20,57.0,163.9,21.97,no,Mumbai,Business,Low
37,47.6,146.7,14.02,no,Pune,Student,Low
77,83.7,167.1,28.17,no,Mumbai,Freelancer,Low
76,73.8,169.9,49.37,yes,Lucknow,Private,Low
53,81.9,151.7,42.9,yes,Kolkata,Doctor,Medium
36,62.0,178.2,14.93,no,Pune,Freelancer,Low
43,68.9,168.4,19.69,no,Chennai,Doctor,Medium
20,93.9,182.1,46.09,no,Hyderabad,Engineer,Low
80,70.0,163.2,45.12,no,Hyderabad,Government,Medium
36,82.1,182.4,9.71,no,Delhi,Private,Low
37,60.7,165.5,41.81,no,Chennai,Government,Low
49,80.7,169.5,16.29,yes,Kolkata,Doctor,Medium
24,61.8,172.2,28.1,no,Delhi,Private,Medium
69,41.6,169.6,2.24,no,Bangalore,Teacher,Low
58,69.9,173.0,49.93,no,Bangalore,Business,Low
50,62.9,150.8,38.53,no,Delhi,Government,Low
57,45.6,168.6,13.6,no,Bangalore,Freelancer,Medium
56,72.9,169.2,34.82,yes,Chennai,Freelancer,Low
35,56.6,150.1,16.08,yes,Mumbai,Teacher,Medium
57,116.4,176.4,6.29,no,Hyderabad,Government,Medium
18,48.0,160.9,22.41,no,Pune,Teacher,Low
28,51.8,179.4,31.46,yes,Chennai,Engineer,Low
45,83.0,170.9,6.31,yes,Bangalore,Doctor,Medium
74,68.0,164.3,26.88,no,Lucknow,Engineer,Medium
42,82.7,180.0,26.71,no,Mumbai,Government,Medium
67,75.7,186.6,32.17,yes,Chennai,Business,Medium
40,61.3,170.4,13.74,yes,Hyderabad,Private,Low
48,49.3,183.7,2.99,no,Bangalore,Engineer,Medium
47,86.1,168.2,17.59,no,Chennai,Government,Low
59,50.7,179.6,21.13,no,Bangalore,Freelancer,Medium
52,78.4,166.3,32.52,no,Kolkata,Teacher,Medium
24,83.8,188.3,46.65,yes,Delhi,Private,Low
77,68.1,180.8,11.76,no,Bangalore,Engineer,Medium
33,65.4,174.7,34.99,no,Hyderabad,Freelancer,Medium
43,55.2,144.7,6.68,no,Chennai,Doctor,Low
65,76.9,174.5,11.15,no,Pune,Engineer,Medium
74,40.0,157.7,26.44,yes,Hyderabad,Doctor,High
69,80.7,173.5,36.0,yes,Lucknow,Freelancer,High
77,71.8,182.8,43.21,no,Bangalore,Private,Medium
66,66.7,176.9,37.71,yes,Bangalore,Private,Medium
19,73.6,178.6,2.74,no,Hyderabad,Teacher,Low
18,49.4,166.3,34.83,no,Chennai,Doctor,Medium
65,40.0,154.8,41.58,no,Chennai,Doctor,Low
79,77.0,162.3,27.23,no,Mumbai,Private,Low
29,89.7,166.7,48.35,no,Pune,Government,Medium
22,43.9,169.9,2.21,yes,Hyderabad,Doctor,Medium
54,54.2,182.7,41.3,yes,Hyderabad,Private,Medium
49,81.3,177.3,18.07,no,Bangalore,Private,Medium
76,75.4,192.2,33.22,yes,Lucknow,Government,Medium
72,114.4,160.0,35.29,no,Kolkata,Doctor,Low
26,86.1,181.6,16.7,no,Delhi,Business,Medium
58,82.5,178.8,49.78,no,Hyderabad,Student,Low
52,58.5,168.8,6.96,no,Lucknow,Government,Medium
36,77.9,160.4,9.54,no,Bangalore,Freelancer,Low
65,92.4,163.8,44.83,no,Chennai,Business,Medium
33,67.5,163.4,7.72,no,Mumbai,Engineer,Low
20,68.2,187.1,20.3,no,Lucknow,Business,Medium
37,72.1,178.3,37.19,no,Lucknow,Business,High
41,60.0,178.7,39.99,no,Bangalore,Doctor,Low
71,74.0,170.9,47.82,no,Kolkata,Engineer,Medium
73,73.7,167.7,39.9,no,Lucknow,Engineer,Low
50,92.2,173.4,42.54,no,Chennai,Freelancer,Medium
41,67.2,171.0,47.57,no,Kolkata,Freelancer,Medium
69,80.1,169.0,28.58,no,Lucknow,Teacher,Medium
28,67.6,173.7,18.48,no,Lucknow,Doctor,Low
66,79.6,159.3,38.56,no,Lucknow,Business,Low
25,66.2,172.7,9.85,no,Kolkata,Teacher,Medium
53,78.6,168.9,5.28,no,Hyderabad,Teacher,Low
55,80.9,162.9,39.7,no,Delhi,Government,Medium
57,54.0,176.4,47.63,no,Delhi,Private,High
37,86.5,188.0,23.24,no,Hyderabad,Freelancer,Medium
79,67.5,182.8,9.73,no,Bangalore,Private,Medium
52,63.0,167.2,25.86,yes,Delhi,Private,Low
65,59.3,176.6,20.88,no,Lucknow,Business,Low
79,74.5,178.4,19.88,no,Bangalore,Private,Medium
42,69.9,171.2,32.15,no,Bangalore,Engineer,High
52,75.6,169.8,10.39,no,Hyderabad,Doctor,Low
42,75.9,173.4,20.26,no,Pune,Freelancer,Low
46,79.1,195.1,43.7,no,Chennai,Doctor,Medium
35,111.6,172.6,37.02,no,Pune,Business,High
63,70.6,157.3,4.67,no,Chennai,Private,Medium
35,59.0,159.5,26.67,no,Mumbai,Doctor,Low
19,40.0,168.3,6.38,yes,Pune,Freelancer,Low
71,52.1,157.5,47.96,no,Delhi,Student,High
52,88.5,168.7,13.74,yes,Hyderabad,Freelancer,Medium
33,80.8,192.3,46.77,yes,Mumbai,Private,Low
78,49.8,164.9,42.03,no,Lucknow,Teacher,Medium
58,107.0,159.1,28.47,no,Hyderabad,Teacher,Medium
53,74.9,167.9,18.14,no,Kolkata,Student,Medium
50,76.9,169.0,43.18,no,Bangalore,Doctor,High
21,103.7,160.1,9.33,yes,Pune,Engineer,Low
50,96.1,157.6,10.64,no,Bangalore,Government,High
31,81.7,183.6,12.79,yes,Chennai,Freelancer,High
38,82.4,175.0,30.69,no,Kolkata,Student,Low
65,83.8,165.2,17.09,yes,Lucknow,Student,Low
37,66.4,158.4,49.48,no,Bangalore,Freelancer,Medium
73,74.3,164.8,11.37,no,Bangalore,Private,Low
25,78.6,157.7,40.67,no,Kolkata,Private,Medium
24,68.1,164.2,6.6,no,Lucknow,Freelancer,Medium
20,55.5,190.7,18.97,yes,Kolkata,Teacher,Medium
34,66.0,172.4,13.7,yes,Bangalore,Freelancer,High
50,55.2,163.8,48.89,no,Kolkata,Engineer,High
65,71.0,176.8,3.24,no,Delhi,Engineer,Low
29,43.3,160.7,36.64,no,Lucknow,Doctor,Low
76,75.1,165.9,13.89,yes,Lucknow,Engineer,Medium
68,45.5,151.5,40.94,no,Kolkata,Doctor,Low
39,63.9,182.7,16.94,no,Mumbai,Private,Medium
72,77.6,168.0,10.99,no,Mumbai,Freelancer,High
39,81.9,161.8,35.27,no,Lucknow,Private,Medium
63,80.1,176.5,14.36,yes,Bangalore,Business,Medium
47,74.8,159.5,25.31,no,Bangalore,Freelancer,Medium
55,53.2,160.1,8.31,no,Lucknow,Student,Medium
55,84.7,166.2,36.78,no,Chennai,Government,Low
62,53.6,158.0,21.53,no,Kolkata,Government,Low
68,86.4,163.5,8.75,no,Pune,Private,Low
71,79.4,168.0,37.6,yes,Mumbai,Student,Low
25,90.4,168.9,6.96,yes,Chennai,Doctor,Medium
44,70.4,156.8,29.59,yes,Lucknow,Doctor,Low
44,57.7,167.6,31.16,no,Bangalore,Doctor,Low
51,50.6,175.8,46.66,no,Pune,Private,Low
38,52.3,177.5,9.25,no,Hyderabad,Student,Medium
47,45.4,165.0,33.36,no,Lucknow,Doctor,Low
50,84.1,168.1,20.28,no,Hyderabad,Student,Medium
45,86.0,167.5,21.24,yes,Delhi,Government,High
64,78.3,156.1,26.09,no,Kolkata,Private,Low
50,69.5,164.6,13.22,yes,Chennai,Student,Low
22,100.9,178.0,24.14,no,Delhi,Government,Low
77,68.5,178.1,34.97,no,Pune,Private,Low
78,73.3,174.1,23.94,yes,Pune,Teacher,Low
65,69.3,143.4,4.04,yes,Pune,Private,Low
36,64.9,162.2,14.38,no,Hyderabad,Government,Low
21,79.5,174.7,18.87,no,Bangalore,Teacher,Medium
52,60.5,187.1,19.03,yes,Mumbai,Business,Medium
66,59.5,169.9,5.89,yes,Chennai,Private,High
34,80.2,171.0,23.58,yes,Chennai,Business,Medium
61,62.5,168.9,35.21,no,Bangalore,Private,High
45,72.0,156.9,4.34,no,Bangalore,Private,Medium
47,64.9,173.5,38.04,no,Lucknow,Private,Medium
46,69.8,154.8,47.85,yes,Mumbai,Government,Medium
63,59.9,169.1,2.45,no,Mumbai,Engineer,Medium
70,60.4,170.9,11.3,no,Mumbai,Doctor,Medium
23,57.7,170.5,28.09,yes,Delhi,Government,Medium
